"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","02-Jan-2012","       2767.65","       2759.20","       2816.65","       2742.00","       2808.00","       2808.95","       2781.66","     728272","      20258.04","      40168","     308586","         42.37"
"INFY","EQ","03-Jan-2012","       2808.95","       2824.10","       2886.95","       2820.00","       2865.20","       2864.30","       2862.91","    1112876","      31860.66","      68763","     574103","         51.59"
"INFY","EQ","04-Jan-2012","       2864.30","       2845.00","       2875.00","       2841.05","       2845.00","       2854.40","       2855.72","     917678","      26206.27","      46897","     452371","         49.30"
"INFY","EQ","05-Jan-2012","       2854.40","       2839.20","       2876.00","       2831.45","       2840.00","       2840.15","       2853.86","     890659","      25418.18","      50037","     457603","         51.38"
"INFY","EQ","06-Jan-2012","       2840.15","       2838.00","       2867.60","       2811.10","       2829.10","       2832.15","       2835.26","     885954","      25119.10","      42072","     376852","         42.54"
"INFY","EQ","07-Jan-2012","       2832.15","       2838.90","       2851.50","       2828.05","       2834.95","       2835.20","       2839.03","      95521","       2711.87","       3720","      21548","         22.56"
"INFY","EQ","09-Jan-2012","       2835.20","       2847.50","       2866.30","       2817.20","       2827.80","       2836.55","       2841.07","    1033223","      29354.63","      42650","     555345","         53.75"
"INFY","EQ","10-Jan-2012","       2836.55","       2870.00","       2875.40","       2850.20","       2864.15","       2863.60","       2861.40","    1397397","      39985.09","      55820","    1014075","         72.57"
"INFY","EQ","11-Jan-2012","       2863.60","       2868.00","       2894.90","       2813.00","       2819.00","       2826.60","       2847.09","    1724475","      49097.36","      90102","     896134","         51.97"
"INFY","EQ","12-Jan-2012","       2826.60","       2750.00","       2750.00","       2578.05","       2590.25","       2588.25","       2627.49","    6121325","     160837.11","     280058","    2911697","         47.57"
"INFY","EQ","13-Jan-2012","       2588.25","       2618.00","       2619.00","       2552.25","       2582.00","       2584.20","       2580.67","    2612368","      67416.47","     149076","    1208548","         46.26"
"INFY","EQ","16-Jan-2012","       2584.20","       2581.25","       2644.00","       2579.10","       2640.00","       2640.15","       2626.54","    1648592","      43300.87","     120634","     955836","         57.98"
"INFY","EQ","17-Jan-2012","       2640.15","       2650.00","       2672.80","       2633.85","       2648.75","       2662.05","       2658.93","    1092553","      29050.17","      71946","     607111","         55.57"
"INFY","EQ","18-Jan-2012","       2662.05","       2644.00","       2644.00","       2585.00","       2607.00","       2612.05","       2608.83","    1212553","      31633.44","      73068","     733216","         60.47"
"INFY","EQ","19-Jan-2012","       2612.05","       2616.00","       2622.80","       2576.60","       2590.00","       2594.70","       2593.32","    1206542","      31289.54","      90036","     719190","         59.61"
"INFY","EQ","20-Jan-2012","       2594.70","       2596.00","       2609.70","       2576.30","       2580.00","       2588.80","       2590.49","    1454464","      37677.72","     108659","    1060028","         72.88"
"INFY","EQ","23-Jan-2012","       2588.80","       2590.00","       2615.50","       2589.00","       2602.00","       2600.30","       2604.10","     645108","      16799.28","      33559","     337810","         52.36"
"INFY","EQ","24-Jan-2012","       2600.30","       2618.00","       2639.60","       2595.00","       2613.00","       2620.80","       2618.61","     706651","      18504.46","      47078","     388242","         54.94"
"INFY","EQ","25-Jan-2012","       2620.80","       2635.00","       2675.00","       2625.00","       2668.90","       2665.80","       2656.08","    1318170","      35011.69","      80721","     970936","         73.66"
"INFY","EQ","27-Jan-2012","       2665.80","       2702.00","       2735.00","       2686.20","       2721.00","       2725.00","       2714.02","    1527359","      41452.79","      96787","     976868","         63.96"
"INFY","EQ","30-Jan-2012","       2725.00","       2698.90","       2725.20","       2690.00","       2699.00","       2712.30","       2702.67","    1198557","      32393.01","      69911","     792164","         66.09"
"INFY","EQ","31-Jan-2012","       2712.30","       2712.00","       2754.65","       2706.00","       2740.00","       2746.00","       2740.68","    1082362","      29664.03","      50686","     717378","         66.28"
"INFY","EQ","01-Feb-2012","       2746.00","       2739.70","       2748.00","       2695.65","       2746.00","       2742.70","       2720.92","     783667","      21322.98","      62319","     458799","         58.55"
"INFY","EQ","02-Feb-2012","       2742.70","       2740.10","       2783.00","       2730.00","       2752.95","       2757.00","       2758.27","    1442282","      39782.00","      63940","    1002392","         69.50"
"INFY","EQ","03-Feb-2012","       2757.00","       2740.05","       2792.00","       2740.05","       2778.10","       2783.25","       2779.09","    1454650","      40426.06","      64571","    1103540","         75.86"
